ID,Ref.,Alloy,Dmax,Tsol,Tliq,T0,T0 phase,Hmelt,Smelt,Hmix,Sconf,DGM Tsol,DGM phase Tsol,DGM T0,DGM phase T0,r_average,deltaR,VEC_average,chi,deltachi,Fe,Co,B,Si,Nb,Ni,Y,Zr,Cr,Mo,P,C,Hf,Al,Dy,Er,Mn,Ti,V,Cu,Sn,W,Ta
442,[70],(Fe0.6Co0.4)68Dy6B22Nb4,2,1208.8126,1670.935,300,none,32643.226,24.21222135,-28408.6368,-1.350566198,1.0346,M3B4_D7B,11.713,M3B4_D7B,0.12066,0.211807475,6.752,1.844,0.186086002,0.408,0.272,0.22,0,0.04,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0
443,[70],(Fe0.5Co0.5)68Dy6B22Nb4,1,1194.6326,1618.095,300,none,31245.246,23.7640977,-29027.3368,-1.364258347,0.94607,M3B4_D7B,11.084,M3B4_D7B,0.12066,0.211807475,6.82,1.8474,0.186255846,0.34,0.34,0.22,0,0.04,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0
444,[70],[(Fe0.8Co0.2)72Mo4B24]94Dy6,3,1311.1126,1631.035,300,none,26016.646,18.05519446,-26728.4368,-1.230958616,0.65269,MOB_BG,13.078,MOB_BG,0.1200736,0.212293274,6.63216,1.859952,0.189237622,0.54144,0.13536,0.2256,0,0,0,0,0,0,0.0376,0,0,0,0,0.06,0,0,0,0,0,0,0,0
445,[71],(Fe72Mo4B24)96Dy4,1.5,1459.2484,1667.8328,300,none,23382.524,15.18451632,-24916.7644,-0.847418599,0.31068,MB_B33,13.84,MOB_BG,0.1188624,0.204905049,6.5712,1.866656,0.166981249,0.6912,0,0.2304,0,0,0,0,0,0,0.0384,0,0,0,0,0.04,0,0,0,0,0,0,0,0
446,[71],(Fe72Mo4B24)95Dy5,2,1457.4655,1661.469,300,none,23205.675,15.1071448,-24742.6695,-0.870911836,0.30269,MB_B33,13.79,MOB_BG,0.119468,0.208733553,6.534,1.85992,0.178613531,0.684,0,0.228,0,0,0,0,0,0,0.038,0,0,0,0,0.05,0,0,0,0,0,0,0,0
447,[71],(Fe72Mo4B24)94Dy6,3,1455.6826,1654.435,300,none,23018.646,15.0222635,-24574.0368,-0.892286256,0.29463,MB_B33,13.739,MOB_BG,0.1200736,0.212293274,6.4968,1.853184,0.189293693,0.6768,0,0.2256,0,0,0,0,0,0,0.0376,0,0,0,0,0.06,0,0,0,0,0,0,0,0
448,[71],(Fe72Mo4B24)93Dy7,2,1453.8997,1646.7834,300,none,22823.684,14.93025595,-24410.5389,-0.911879821,0.2865,MB_B33,13.688,MOB_BG,0.1206792,0.215602882,6.4596,1.846448,0.199174956,0.6696,0,0.2232,0,0,0,0,0,0,0.0372,0,0,0,0,0.07,0,0,0,0,0,0,0,0
449,[6],Fe50Cr14Mo14C14B6Y2,4,1386.81,1609.24,306,BCC_B2,26515.5,18.26481027,-25587.9,-1.419386093,0.33846,M2B_C16,15.722,Y2C3_ALPHA,0.12072,0.191192533,6.48,1.9536,0.294413043,0.5,0,0.06,0,0,0,0.02,0,0.14,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,0
450,[72],Fe74Al4Sn2P11C4B4Si1,2,1202.2921,1582.969,1131,FCC_L12,26865.323,19.07177621,-14516.878,-0.97617527,0.37586,BCC_B2#1,0.4754,BCC_B2#1,0.1219,0.140168535,6.99,1.9013,0.184378171,0.74,0,0.04,0.01,0,0,0,0,0,0,0.11,0.04,0,0.04,0,0,0,0,0,0,0.02,0,0
451,[72],Fe74Al4Sn2P10Si4B4C2,2,1236.411,1607.279,1194,FCC_L12,27157.7,18.78952568,-16497.76,-0.995822297,0.33879,BCC_B2#1,0.39086,BCC_B2#1,0.12242,0.131319892,6.98,1.8854,0.156501885,0.74,0,0.04,0.04,0,0,0,0,0,0,0.1,0.02,0,0.04,0,0,0,0,0,0,0.02,0,0
452,[73],Fe43Co4.5Cr16.5Mo16.5C14B4Y1.5,10,1384.58,1677.76,403,BCC_B2,30279.5,20.3309059,-24126.5,-1.56121623,0.35236,HCP_A3#1,10.576,Y15C19_ALPHA,0.1212985,0.181714945,6.529,1.95114,0.293448096,0.43,0.045,0.04,0,0,0,0.015,0,0.165,0.165,0,0.14,0,0,0,0,0,0,0,0,0,0,0
453,[1],Co43B31.5Fe20Ta5.5,2,1225.98,1495.89,300,none,25036.33,18.61524795,-38408,-1.20820046,0.39986,MB_B27,7.3018,MB_B27,0.113405,0.215768125,6.69,1.8995,0.126987204,0.2,0.43,0.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055
454,[79],Fe36Co36B19.2Si4.8Nb4,2,1241.98,1671.15,300,none,31020.02,22.90202463,-31577.4,-1.326948438,0.89514,M3B4_D7B,11.887,M3B4_D7B,0.117872,0.174450844,7.088,1.88248,0.094679721,0.36,0.36,0.192,0.048,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,[79],Fe40Ni35P10C10B5,1.5,1153.711,1496.809,777,FCC_L12,26914.9,20.38386002,-18443.66,-1.344257669,1.1708,GRAPHITE_A9,3.5235,GRAPHITE_A9,0.1176,0.160293063,7.75,1.9765,0.218592658,0.4,0,0.05,0,0,0.35,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
456,[81],Fe48Cr15C15Mo14Er2B6,8,1376.1112,1595.6054,498.7,BCC_B2,24950.57,17.1071153,-25942.23822,-1.443742103,0.32136,M2B_C16,6.2687,MOB_BG,0.12015,0.193791603,6.42,1.9595,0.300297769,0.48,0,0.06,0,0,0,0,0,0.15,0.14,0,0.15,0,0,0,0.02,0,0,0,0,0,0,0
457,[79],Fe56.8B24Co14.2Nb5,2,1274.14,1894.89,300,none,38418.5,25.73541229,-28705.5,-1.090748379,1.2848,M3B4_D7B,13.724,M3B4_D7B,0.1169,0.1899348,6.792,1.876,0.107088748,0.568,0.142,0.24,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,[81],[(Fe60Co40)72B24Mo4]94Dy6,2,1244.8226,1620.465,300,none,27066.646,19.54233102,-28396.2368,-1.347780552,0.79858,MOB_BG,12.081,MOB_BG,0.1200736,0.212293274,6.76752,1.86672,0.188939254,0.40608,0.27072,0.2256,0,0,0,0,0,0,0.0376,0,0,0,0,0.06,0,0,0,0,0,0,0,0
